교육청명,교육지원청명,유치원코드,유치원명,설립유형,건축년도,건물층수,건물전용면적,대지총면적,공시차수,주소
서울특별시교육청,북부교육지원청,0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3,서울상계초등학교병설유치원,공립(병설),2017년,지상2층/ 지하0층,418㎡,9831㎡,20241,서울특별시 노원구 상계로9길 39
서울특별시교육청,북부교육지원청,1ecec08c-ed86-b044-e053-0a32095ab044,한울유치원,사립(사인),1999년,지상2층/ 지하1층,915㎡,694㎡,20211,서울특별시 노원구 덕릉로122길 12-6
서울특별시교육청,북부교육지원청,1ecec08c-ed88-b044-e053-0a32095ab044,효천유치원,사립(사인),1993년,지상2층/ 지하1층,400㎡,683㎡,20241,서울특별시 노원구 중계로18길 14
서울특별시교육청,북부교육지원청,1ecec08c-eed1-b044-e053-0a32095ab044,영은유치원,사립(사인),1987년,지상4층/ 지하1층,726㎡,726㎡,20201,서울특별시 노원구 동일로213길 78
서울특별시교육청,북부교육지원청,1ecec08c-ef26-b044-e053-0a32095ab044,키즈위즈유치원,사립(사인),2009년,지상2층/ 지하0층,643㎡,696㎡,20241,서울특별시 노원구 덕릉로86길 65
서울특별시교육청,북부교육지원청,1ecec08c-efcd-b044-e053-0a32095ab044,공릉 사라유치원,사립(사인),1995년,지상2층/ 지하1층,436㎡,376㎡,20241,서울특별시 노원구 동일로198가길 13
서울특별시교육청,북부교육지원청,1ecec08c-efce-b044-e053-0a32095ab044,상원유치원,사립(사인),1991년,지상2층/ 지하1층,850㎡,1372㎡,20241,서울특별시 노원구 노원로19길 33
서울특별시교육청,북부교육지원청,1ecec08c-efcf-b044-e053-0a32095ab044,서울수락초등학교병설유치원,공립(병설),1997년,지상4층/ 지하1층,374㎡,14662㎡,20241,서울특별시 노원구 동일로 1745
서울특별시교육청,북부교육지원청,1ecec08c-efd7-b044-e053-0a32095ab044,육사유치원,사립(사인),2012년,지상1층/ 지하0층,550㎡,920㎡,20241,서울특별시 노원구 화랑로 564
서울특별시교육청,북부교육지원청,1ecec08c-efd8-b044-e053-0a32095ab044,이레유치원,사립(사인),1995년,지상2층/ 지하1층,730㎡,1035㎡,20191,서울특별시 노원구 월계로55길 16
서울특별시교육청,북부교육지원청,1ecec08c-f082-b044-e053-0a32095ab044,온누리유치원,사립(사인),1989년,지상3층/ 지하0층,599㎡,299㎡,20241,서울특별시 노원구 동일로227길 47
서울특별시교육청,북부교육지원청,1ecec08c-f12b-b044-e053-0a32095ab044,꽃동산유치원,사립(법인),2006년,지상1층/ 지하0층,603㎡,502㎡,20241,서울특별시 노원구 공릉로 257
서울특별시교육청,북부교육지원청,1ecec08c-f200-b044-e053-0a32095ab044,학여울유치원,사립(사인),1998년,지상2층/ 지하0층,422㎡,408㎡,20241,서울특별시 노원구 동일로207길 186
서울특별시교육청,북부교육지원청,1ecec08c-f201-b044-e053-0a32095ab044,효자유치원,사립(사인),1986년,지상1층/ 지하1층,1060㎡,1693㎡,20241,서울특별시 노원구 마들로 111
서울특별시교육청,북부교육지원청,1ecec08c-f34f-b044-e053-0a32095ab044,보고유치원,사립(사인),1984년,지상2층/ 지하1층,436㎡,498㎡,20241,서울특별시 노원구 석계로13길 23-14
서울특별시교육청,북부교육지원청,1ecec08c-f405-b044-e053-0a32095ab044,대원유치원,사립(사인),1989년,지상2층/ 지하0층,240㎡,299㎡,20211,서울특별시 노원구 동일로228길 29
서울특별시교육청,북부교육지원청,1ecec08c-f406-b044-e053-0a32095ab044,보배유치원,사립(사인),1995년,지상2층/ 지하0층,464㎡,464㎡,20241,서울특별시 노원구 마들로3길 37
서울특별시교육청,북부교육지원청,1ecec08c-f412-b044-e053-0a32095ab044,우리유치원,사립(사인),1992년,지상2층/ 지하0층,646㎡,452㎡,20241,서울특별시 노원구 한글비석로 281
서울특별시교육청,북부교육지원청,1ecec08c-f413-b044-e053-0a32095ab044,초안유치원,사립(사인),1998년,지상2층/ 지하1층,580㎡,952㎡,20241,서울특별시 노원구 우이천로 102
서울특별시교육청,북부교육지원청,1ecec08c-f5d5-b044-e053-0a32095ab044,서울수암초등학교병설유치원,공립(병설),1999년,지상2층/ 지하0층,2049㎡,13380㎡,20241,서울특별시 노원구 중계로12길 9
서울특별시교육청,북부교육지원청,1ecec08c-f5f3-b044-e053-0a32095ab044,고운유치원,사립(사인),1991년,지상2층/ 지하0층,774㎡,1280㎡,20241,서울특별시 노원구 동일로208길 34
서울특별시교육청,북부교육지원청,1ecec08c-f5f4-b044-e053-0a32095ab044,까치유치원,사립(사인),1998년,지상3층/ 지하0층,925㎡,322㎡,20241,서울특별시 노원구 덕릉로79길 23
서울특별시교육청,북부교육지원청,1ecec08c-f658-b044-e053-0a32095ab044,동화나라유치원,사립(사인),2002년,지상2층/ 지하1층,785㎡,843㎡,20241,서울특별시 노원구 덕릉로 780
서울특별시교육청,북부교육지원청,1ecec08c-f80d-b044-e053-0a32095ab044,희산유치원,사립(사인),1988년,지상2층/ 지하1층,285㎡,315㎡,20181,서울특별시 노원구 덕릉로 459-18
서울특별시교육청,북부교육지원청,1ecec08c-fa85-b044-e053-0a32095ab044,공능유치원,사립(사인),1986년,지상3층/ 지하1층,615㎡,813㎡,20181,서울특별시 노원구 동일로186길 27
서울특별시교육청,북부교육지원청,1ecec08c-fc08-b044-e053-0a32095ab044,선덕유치원,사립(사인),1990년,지상2층/ 지하0층,600㎡,600㎡,20231,서울특별시 노원구 섬밭로 190
서울특별시교육청,북부교육지원청,1ecec08c-fc09-b044-e053-0a32095ab044,염광유치원,사립(법인),1979년,지상4층/ 지하1층,1640㎡,4716㎡,20211,서울특별시 노원구 월계로45가길 9
서울특별시교육청,북부교육지원청,1ecec08c-fc37-b044-e053-0a32095ab044,산내들유치원,사립(사인),1996년,지상2층/ 지하0층,349㎡,510㎡,20241,서울특별시 노원구 공릉로46길 32
서울특별시교육청,북부교육지원청,1ecec08c-fd0f-b044-e053-0a32095ab044,미광유치원,사립(사인),1999년,지상2층/ 지하1층,601㎡,653㎡,20241,서울특별시 노원구 공릉로34길 62
서울특별시교육청,북부교육지원청,1ecec08c-fd16-b044-e053-0a32095ab044,청암유치원,사립(사인),2005년,지상4층/ 지하1층,324㎡,12162㎡,20201,서울특별시 노원구 중계로 244
서울특별시교육청,북부교육지원청,1ecec08c-fd17-b044-e053-0a32095ab044,풍천유치원,사립(사인),1988년,지상3층/ 지하0층,622㎡,715㎡,20241,서울특별시 노원구 노원로 522
서울특별시교육청,북부교육지원청,1ecec08c-fd18-b044-e053-0a32095ab044,하늘유치원,사립(사인),1999년,지상2층/ 지하1층,426㎡,248㎡,20241,서울특별시 노원구 초안산로 89
서울특별시교육청,북부교육지원청,1ecec08c-fe07-b044-e053-0a32095ab044,서울공릉초등학교병설유치원,공립(병설),1975년,지상1층/ 지하0층,634㎡,12949㎡,20241,서울특별시 노원구 동일로173길 12
서울특별시교육청,북부교육지원청,1ecec08c-fe4c-b044-e053-0a32095ab044,아이디유치원,사립(사인),1989년,지상3층/ 지하1층,515㎡,495㎡,20241,서울특별시 노원구 동일로221길 32
서울특별시교육청,북부교육지원청,1ecec08c-ff21-b044-e053-0a32095ab044,학림유치원,사립(사인),1995년,지상4층/ 지하0층,557㎡,505㎡,20181,서울특별시 노원구 상계로7길 25
서울특별시교육청,북부교육지원청,1ecec08d-006c-b044-e053-0a32095ab044,서울신상계초등학교병설유치원,공립(병설),1980년,지상2층/ 지하0층,653㎡,14853㎡,20241,서울특별시 노원구 상계로 267
서울특별시교육청,북부교육지원청,1ecec08d-006e-b044-e053-0a32095ab044,양지유치원,사립(사인),1992년,지상3층/ 지하1층,891㎡,891㎡,20201,서울특별시 노원구 노원로30길 45
서울특별시교육청,북부교육지원청,1ecec08d-008e-b044-e053-0a32095ab044,무지개유치원,사립(법인),2005년,지상3층/ 지하0층,817㎡,711㎡,20241,서울특별시 노원구 덕릉로94가길 54
서울특별시교육청,북부교육지원청,1ecec08d-014f-b044-e053-0a32095ab044,동은유치원,사립(사인),1991년,지상2층/ 지하0층,548㎡,548㎡,20201,서울특별시 노원구 동일로207길 23
서울특별시교육청,북부교육지원청,1ecec08d-0150-b044-e053-0a32095ab044,두솔유치원,사립(사인),1994년,지상1층/ 지하0층,305㎡,399㎡,20241,서울특별시 노원구 초안산로 19
서울특별시교육청,북부교육지원청,1ecec08d-0151-b044-e053-0a32095ab044,새봄유치원,사립(사인),1998년,지상2층/ 지하1층,487㎡,1036㎡,20191,서울특별시 노원구 동일로245길 162
서울특별시교육청,북부교육지원청,1ecec08d-04a5-b044-e053-0a32095ab044,성북유치원,사립(사인),1996년,지상2층/ 지하1층,489㎡,1177㎡,20201,서울특별시 노원구 광운로17길 5-3
서울특별시교육청,북부교육지원청,1ecec08d-04a6-b044-e053-0a32095ab044,성실유치원,사립(사인),1997년,지상2층/ 지하1층,573㎡,601㎡,20241,서울특별시 노원구 한글비석로1길 28
서울특별시교육청,북부교육지원청,1ecec08d-04a7-b044-e053-0a32095ab044,예진유치원,사립(사인),1993년,지상2층/ 지하1층,610㎡,609㎡,20241,서울특별시 노원구 섬밭로 123
서울특별시교육청,북부교육지원청,1ecec08d-04c6-b044-e053-0a32095ab044,다연유치원,사립(사인),1998년,지상2층/ 지하1층,455㎡,455㎡,20241,서울특별시 노원구 월계로45가길 94
서울특별시교육청,북부교육지원청,1ecec08d-0578-b044-e053-0a32095ab044,서울상곡초등학교병설유치원,공립(병설),1988년,지상2층/ 지하0층,601㎡,1689㎡,20241,서울특별시 노원구 노원로38길 34
서울특별시교육청,북부교육지원청,1ecec08d-0741-b044-e053-0a32095ab044,꿈모리유치원,사립(사인),1994년,지상3층/ 지하0층,548㎡,177㎡,20191,서울특별시 노원구 공릉로58길 23
서울특별시교육청,북부교육지원청,1ecec08d-0742-b044-e053-0a32095ab044,꿈동산유치원,사립(사인),1988년,지상3층/ 지하1층,939㎡,1573㎡,20181,서울특별시 노원구 동일로227길 26
서울특별시교육청,북부교육지원청,1ecec08d-08f6-b044-e053-0a32095ab044,삼육대학교부속유치원,사립(법인),1991년,지상3층/ 지하1층,799㎡,2775㎡,20241,서울특별시 노원구 화랑로 815
서울특별시교육청,북부교육지원청,1ecec08d-08f7-b044-e053-0a32095ab044,서울여자대학교부속유치원,사립(법인),1993년,지상2층/ 지하1층,1155㎡,1609㎡,20241,서울특별시 노원구 화랑로 621
서울특별시교육청,북부교육지원청,1ecec08d-09c2-b044-e053-0a32095ab044,서울노일유치원,공립(단설),1994년,지상2층/ 지하0층,1191㎡,1603㎡,20241,서울특별시 노원구 동일로231길 26
서울특별시교육청,북부교육지원청,1ecec08d-09c3-b044-e053-0a32095ab044,아랑유치원,사립(사인),1995년,지상2층/ 지하1층,769㎡,630㎡,20241,서울특별시 노원구 동일로 1127
서울특별시교육청,북부교육지원청,1ecec08d-09c4-b044-e053-0a32095ab044,사랑샘유치원,사립(사인),1992년,지상2층/ 지하0층,550㎡,930㎡,20201,서울특별시 노원구 한글비석로 325
서울특별시교육청,북부교육지원청,1ecec08d-09d0-b044-e053-0a32095ab044,원암유치원,사립(사인),1987년,지상3층/ 지하0층,1660㎡,1164㎡,20241,서울특별시 노원구 중계로14라길 48
서울특별시교육청,북부교육지원청,1ecec08d-0b2c-b044-e053-0a32095ab044,토마토유치원,사립(사인),1990년,지상4층/ 지하0층,876㎡,876㎡,20191,서울특별시 노원구 공릉로 181
서울특별시교육청,북부교육지원청,1ecec08d-0b2d-b044-e053-0a32095ab044,한양유치원,사립(법인),2002년,지상3층/ 지하1층,701㎡,220㎡,20241,서울특별시 노원구 마들로 31
서울특별시교육청,북부교육지원청,1ecec08d-0bb4-b044-e053-0a32095ab044,꿈터유치원,사립(사인),1991년,지상3층/ 지하0층,463㎡,447㎡,20241,서울특별시 노원구 동일로230길 63
서울특별시교육청,북부교육지원청,1ecec08d-0c09-b044-e053-0a32095ab044,한성유치원,사립(사인),1992년,지상3층/ 지하2층,1299㎡,32110㎡,20241,서울특별시 노원구 한글비석로 145
서울특별시교육청,북부교육지원청,1ecec08d-0cc4-b044-e053-0a32095ab044,서울태랑초등학교병설유치원,공립(병설),2001년,지상1층/ 지하0층,1026㎡,12347㎡,20241,서울특별시 노원구 화랑로51나길 31
서울특별시교육청,북부교육지원청,1ecec08d-0d3b-b044-e053-0a32095ab044,서울연촌초등학교병설유치원,공립(병설),2010년,지상1층/ 지하0층,476㎡,17184㎡,20241,서울특별시 노원구 공릉로58길 36
서울특별시교육청,북부교육지원청,1ecec08d-0d3c-b044-e053-0a32095ab044,성희유치원,사립(사인),1991년,지상2층/ 지하0층,462㎡,325㎡,20241,서울특별시 노원구 동일로215길 48
서울특별시교육청,북부교육지원청,1ecec08d-0d3e-b044-e053-0a32095ab044,연세유치원,사립(사인),1989년,지상3층/ 지하1층,928㎡,928㎡,20241,서울특별시 노원구 섬밭로 265
서울특별시교육청,북부교육지원청,1ecec08d-0d3f-b044-e053-0a32095ab044,영산유치원,사립(사인),1988년,지상4층/ 지하1층,671㎡,1060㎡,20191,서울특별시 노원구 동일로216길 47
서울특별시교육청,북부교육지원청,1ecec08d-0e2e-b044-e053-0a32095ab044,서울동일초등학교병설유치원,공립(병설),1988년,지상2층/ 지하0층,615㎡,550㎡,20241,서울특별시 노원구 한글비석로 566
서울특별시교육청,북부교육지원청,1ecec08d-0e2f-b044-e053-0a32095ab044,미성유치원,사립(사인),1990년,지상4층/ 지하1층,229㎡,298㎡,20181,서울특별시 노원구 공릉로59길 28
서울특별시교육청,북부교육지원청,1ecec08d-0e37-b044-e053-0a32095ab044,청원유치원,사립(법인),1988년,지상1층/ 지하0층,2894㎡,42005㎡,20241,서울특별시 노원구 한글비석로 506
서울특별시교육청,북부교육지원청,1ecec08d-0e55-b044-e053-0a32095ab044,서울상경초등학교병설유치원,공립(병설),2006년,지상1층/ 지하0층,426㎡,5402㎡,20241,서울특별시 노원구 수락산로 237
서울특별시교육청,북부교육지원청,1ecec08d-0ef1-b044-e053-0a32095ab044,노원 삼육유치원,사립(법인),2004년,지상2층/ 지하0층,823㎡,237㎡,20241,서울특별시 노원구 공릉로42길 13-1
서울특별시교육청,북부교육지원청,1ff76abf-a519-49f7-9c73-cdb63feb87e7,서울연지유치원,공립(단설),1995년,지상2층/ 지하1층,773㎡,1035㎡,20241,서울특별시 노원구 월계로55길 16
서울특별시교육청,북부교육지원청,233930d4-6ab2-4671-88de-f431e1ea4801,서울수락산유치원,공립(단설),1998년,지상2층/ 지하1층,878㎡,1046㎡,20241,서울특별시 노원구 동일로245길 162
서울특별시교육청,북부교육지원청,30a543a1-a1cd-4d01-b5a2-1ff881664d96,서울상원초등학교병설유치원,공립(병설),2022년,지상1층/ 지하0층,575㎡,5991㎡,20241,서울특별시 노원구 한글비석로54길 119
서울특별시교육청,북부교육지원청,5273f8fa-4226-465b-8a8e-83d366b4c2fe,서울당현초등학교병설유치원,공립(병설),1988년,지상2층/ 지하0층,391㎡,11657㎡,20241,서울특별시 노원구 동일로213길 52
서울특별시교육청,북부교육지원청,55377202-19bf-46f9-93eb-e81f4c49ddba,서울용동초등학교병설유치원,공립(병설),1991년,지상1층/ 지하0층,466㎡,11215㎡,20241,서울특별시 노원구 한글비석로1길 81-11
서울특별시교육청,북부교육지원청,7594e46b-0646-4ce2-9bce-ad3493a6b4ad,꿈동산아이유치원,사립(법인),1988년,지상3층/ 지하1층,1080㎡,170507㎡,20241,서울특별시 노원구 동일로227길 26
서울특별시교육청,북부교육지원청,7b5c2e25-68ac-47e2-b661-53b594c85e6f,서울공연초등학교병설유치원,공립(병설),1984년,지상4층/ 지하0층,467㎡,4399㎡,20241,서울특별시 노원구 동일로192가길 16
서울특별시교육청,북부교육지원청,b773220d-b371-4bc5-85f6-2bb2c8d0fee0,서울월계초등학교병설유치원,공립(병설),2023년,지상2층/ 지하0층,541㎡,903㎡,20241,서울특별시 노원구 월계로45가길 10
서울특별시교육청,북부교육지원청,d2ef6fed-c1e4-417d-8794-73f74106491f,서울계상초등학교병설유치원,공립(병설),1983년,지상1층/ 지하0층,441㎡,17462㎡,20241,서울특별시 노원구 한글비석로41가길 24
서울특별시교육청,북부교육지원청,f989a1f7-1610-4bc9-8ead-ddb5fdfdfe1e,서울태릉초등학교병설유치원,공립(병설),1986년,지상1층/ 지하0층,177㎡,600㎡,20241,서울특별시 노원구 노원로1길 36
